Cassini CIRS temperature and derived zonal winds  
Latitude is planetocentric, pressure unit is mbar, and wind & uncertainty unit is m/s
Data in each pressure level with varying latitude is saved 

Pressure level 508.1449 mbar
pressure latitude  temperature  wind   wind-uncertainty
  387.57   49.00     99.377    -1.238     3.241
  387.57   50.00     99.289    -2.539     2.109
  387.57   51.00     99.163     2.212     0.780
  387.57   52.00     99.077    12.492     0.449
  387.57   53.00     99.059    28.689     1.399
  387.57   54.00     99.021    48.015     1.079
  387.57   55.00     98.989    71.194     1.084
  387.57   56.00     98.977    90.058     0.842
  387.57   57.00     99.127    85.390     1.744
  387.57   58.00     99.351    70.390     0.762
  387.57   59.00     99.468    62.654     1.449
  387.57   60.00     99.465    66.519     1.383
  387.57   61.00     99.463    84.296     2.404
  387.57   62.00     99.479    95.434     1.155
  387.57   63.00     99.495    63.157     1.894
  387.57   64.00     99.487    31.406     1.204
  387.57   65.00     99.456    18.237     0.527
  387.57   66.00     99.373     3.223     1.674
  387.57   67.00     99.486    -4.739     1.813
  387.57   68.00     99.632    -8.984     2.134
  387.57   69.00     99.692   -11.740     1.432
  387.57   70.00     99.617   -11.451     1.980
  387.57   71.00     99.533    -8.539     1.967
  387.57   72.00     99.441    -0.952     2.627
  387.57   73.00     99.381    11.445     1.308
  387.57   74.00     99.346    32.148     0.944
  387.57   75.00     99.310    74.365     1.124
  387.57   76.00     99.241    79.638     0.630
  387.57   77.00     99.167    35.641     1.331
  387.57   78.00     99.122    13.124     0.936
  387.57   79.00     99.127     9.586     0.785
  387.57   80.00     99.109    10.299     1.125
  387.57   81.00     99.026    21.401     1.236
  387.57   82.00     98.894    32.985     1.270
  387.57   83.00     98.887    42.303     1.043
  387.57   84.00     98.910    66.224     1.229
  387.57   85.00     98.953    96.950     0.766
  387.57   86.00     98.982    89.401     0.718
  387.57   87.00     99.053    46.755     1.174
  387.57   88.00     99.035    17.134     0.837
  387.57   89.00     98.968     8.642     1.049
  387.57   90.00     98.892     0.020     1.200

Pressure level 338.466 mbar
pressure latitude  temperature  wind   wind-uncertainty
  338.47  -90.00     98.153    -6.720     2.080
  338.47  -89.00     98.028   101.060     1.542
  338.47  -88.00     98.027   145.858     1.355
  338.47  -87.00     97.975   142.551     1.311
  338.47  -86.00     97.887   129.405     1.651
  338.47  -85.00     97.594   113.208     2.123
  338.47  -84.00     97.465    86.117     1.280
  338.47  -83.00     97.374    55.644     1.712
  338.47  -82.00     97.337    39.756     1.157
  338.47  -81.00     97.303    26.897     1.659
  338.47  -80.00     97.083    15.948     1.389
  338.47  -79.00     97.045     6.601     1.255
  338.47  -78.00     97.031     3.031     1.468
  338.47  -77.00     97.195    -0.048     1.695
  338.47  -76.00     97.261     0.698     1.740
  338.47  -75.00     97.458     3.343     3.030
  338.47  -74.00     97.752     9.542     2.167
  338.47  -73.00     97.903    20.009     2.198
  338.47  -72.00     97.938    41.317     2.245
  338.47  -71.00     97.925    83.533     1.838
  338.47  -70.00     97.937    86.369     1.159
  338.47  -69.00     97.940    44.206     0.973
  338.47  -68.00     97.975    18.651     1.249
  338.47  -67.00     98.052     0.866     1.931
  338.47  -66.00     98.157    -8.342     1.408
  338.47  -65.00     98.254   -13.715     2.046
  338.47  -64.00     98.302   -16.003     1.761
  338.47  -63.00     98.374   -13.333     1.674
  338.47  -62.00     98.472    -7.856     1.157
  338.47  -61.00     98.676    -1.816     1.470
  338.47  -60.00     98.861     6.511     2.242
  338.47  -59.00     98.986    14.131     2.723
  338.47  -58.00     99.063    25.285     3.399
  338.47  -57.00     99.076    83.832     3.026
  338.47  -56.00     98.992   140.282     1.871
  338.47  -55.00     98.847   135.157     2.169
  338.47  -54.00     98.724   113.662     2.001
  338.47  -53.00     98.826    94.868     2.124
  338.47  -52.00     99.037    73.014     2.461
  338.47  -51.00     99.195    51.677     1.918
  338.47  -50.00     99.363    33.700     1.992
  338.47  -49.00     99.610    23.818     1.347
  338.47  -48.00     99.856    21.846     1.837
  338.47  -47.00    100.055    30.595     1.482
  338.47  -46.00    100.240    47.159     2.745
  338.47  -45.00    100.380    71.085     2.507
  338.47  -44.00    100.295   101.275     2.370
  338.47  -43.00     99.997   126.597     2.668
  338.47  -42.00     99.701   129.600     2.619
  338.47  -41.00     99.516    89.638     1.333
  338.47  -40.00     99.509    51.899     2.156
  338.47  -39.00     99.673    23.756     2.537
  338.47  -38.00     99.874     8.234     3.272
  338.47  -37.00    100.052    -2.277     3.605
  338.47  -36.00    100.196    -7.249     2.079
  338.47  -35.00    100.257   -11.697     1.260
  338.47  -34.00    100.291   -12.025     1.396
  338.47  -33.00    100.369    -0.414     2.324
  338.47  -32.00    100.515    19.648     1.641
  338.47  -31.00    100.668    44.214     1.594
  338.47  -30.00    100.694    52.930     3.214
  338.47  -29.00    100.611    62.550     3.189
  338.47  -28.00    100.450    81.498     3.830
  338.47  -27.00    100.288    78.956     1.681
  338.47  -26.00    100.200    62.662     1.457
