Brunt-Väisälä frequency (N), vertical shear of zonal wind (dUdz), and Richardson number (Ri) 
Latitude is planetocentric and pressure unit is mbar
N unit is 1e-3 1/s, dUdz unit is 1e-3 1/s, and Ri is unitless 
Data in each pressure level with varying latitude is saved 

Pressure level 508.1449 mbar
pressure latitude       N       dUdz       Ri
  387.57   43.00      5.741    -0.105   237.232
  387.57   44.00      5.746    -0.074   237.660
  387.57   45.00      5.719    -0.049   235.389
  387.57   46.00      5.674    -0.033   231.692
  387.57   47.00      5.627    -0.013   227.859
  387.57   48.00      5.583    -0.002   224.349
  387.57   49.00      5.541     0.005   220.932
  387.57   50.00      5.494     0.003   217.220
  387.57   51.00      5.439    -0.000   212.929
  387.57   52.00      5.392    -0.006   209.246
  387.57   53.00      5.371    -0.018   207.651
  387.57   54.00      5.378    -0.033   208.178
  387.57   55.00      5.408    -0.043   210.468
  387.57   56.00      5.436    -0.046   212.702
  387.57   57.00      5.444    -0.039   213.311
  387.57   58.00      5.430    -0.032   212.167
  387.57   59.00      5.391    -0.025   209.196
  387.57   60.00      5.345    -0.014   205.632
  387.57   61.00      5.323     0.001   203.893
  387.57   62.00      5.353     0.018   206.226
  387.57   63.00      5.445     0.033   213.378
  387.57   64.00      5.558     0.041   222.325
  387.57   65.00      5.642     0.037   229.062
  387.57   66.00      5.690     0.027   233.024
  387.57   67.00      5.699     0.017   233.791
  387.57   68.00      5.679     0.004   232.130
  387.57   69.00      5.670    -0.000   231.418
  387.57   70.00      5.670     0.002   231.406
  387.57   71.00      5.695     0.012   233.452
  387.57   72.00      5.754     0.023   238.314
  387.57   73.00      5.853     0.030   246.586
  387.57   74.00      5.982     0.030   257.571
  387.57   75.00      6.122     0.023   269.717
  387.57   76.00      6.244     0.019   280.603
  387.57   77.00      6.323     0.021   287.743
  387.57   78.00      6.344     0.020   289.648
  387.57   79.00      6.309     0.015   286.487
  387.57   80.00      6.233     0.016   279.632
  387.57   81.00      6.140     0.015   271.305
  387.57   82.00      6.068     0.012   265.013
  387.57   83.00      6.050     0.006   263.397
  387.57   84.00      6.080     0.002   266.014
  387.57   85.00      6.096     0.000   267.429
  387.57   86.00      6.124     0.001   269.882
  387.57   87.00      6.160     0.005   273.107
  387.57   88.00      6.176     0.016   274.503
  387.57   89.00      6.255     0.014   281.556
  387.57   90.00      6.339     0.002   289.220

Pressure level 338.466 mbar
pressure latitude       N       dUdz       Ri
  338.47  -90.00      9.330    -0.106   626.551
  338.47  -89.00      9.377    -0.106   632.845
  338.47  -88.00      9.420    -0.055   638.708
